"Time of Day","Process Name","PID","Operation","Path","Result","Detail","TID"
"10:02:08.9813765","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\BCrypt.dll","NAME NOT FOUND","","8260"
"10:02:09.0249558","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\iphlpapi.dll","NAME NOT FOUND","","8260"
"10:02:09.0250289","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\IPHLPAPI.DLL","SUCCESS","CreationTime: 04/12/2023 03:41:45, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:45, ChangeTime: 06/02/2025 13:36:11, AllocationSize: 233,472, EndOfFile: 231,560, FileAttributes: A","8260"
"10:02:09.0256647","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\dnsapi.dll","SUCCESS","CreationTime: 04/12/2023 03:41:44, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:45, ChangeTime: 06/02/2025 13:36:11, AllocationSize: 823,296, EndOfFile: 821,392, FileAttributes: A","8260"
"10:02:09.0297996","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\dhcpcsvc6.dll","SUCCESS","CreationTime: 04/12/2023 03:41:44, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:44, ChangeTime: 06/02/2025 13:36:43, AllocationSize: 73,728, EndOfFile: 73,216, FileAttributes: A","8260"
"10:02:09.0304723","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\dhcpcsvc.dll","SUCCESS","CreationTime: 04/12/2023 03:41:44, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:44, ChangeTime: 06/02/2025 13:36:43, AllocationSize: 102,400, EndOfFile: 101,376, FileAttributes: A","8260"
"10:02:09.0334349","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\winnsi.dll","SUCCESS","CreationTime: 04/12/2023 03:41:49, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:49, ChangeTime: 06/02/2025 13:36:43, AllocationSize: 36,864, EndOfFile: 36,808, FileAttributes: A","8260"
"10:02:09.0566229","GOGLoader.exe","7212","QueryOpen","C:\Users\lab\Desktop\winhttp.dll","NAME NOT FOUND","","8260"
"10:02:09.0567794","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\winhttp.dll","SUCCESS","CreationTime: 04/12/2023 03:41:46, LastAccessTime: 26/06/2025 10:02:09, LastWriteTime: 04/12/2023 03:41:46, ChangeTime: 06/02/2025 13:36:30, AllocationSize: 1,089,536, EndOfFile: 1,088,896, FileAttributes: A","8260"
"10:02:09.0903533","GOGLoader.exe","7212","QueryOpen","C:\Windows\System32\OnDemandConnRouteHelper.dll","SUCCESS","CreationTime: 04/12/2023 03:41:07, LastAccessTime: 26/06/2025 10:02:08, LastWriteTime: 04/12/2023 03:41:07, ChangeTime: 06/02/2025 13:36:35, AllocationSize: 73,728, EndOfFile: 73,728, FileAttributes: A","8260"
